pid,label,presentation_date,presenter,association,ship_name,official_number,ship_date,archive,abbreviations
t020,"Presentation 2: Jan & Pete Owens, CLIP","February 3, 2022",Jan and Pete Owens,Crew List Indexing Project (CLIP),,,,,"MHA - Maritime History Archive, University of Newfoundland, St. John's NL; CLIP - Crew List Indexing Project, www.crewlist.org.uk; ON - The permanent Official Number of a ship, used as a finding aid."
t030,"Presentation 3: <i>Sparkling Grace</i>, Madeleine Mant, U of Toronto","February 3, 2022",Madeleine Mant,University of Toronto,<i>Sparkling Glance</i>,81538,1896,"MHA, St. John's, NL","MHA - Maritime History Archive, University of Newfoundland, St. John's NL; CLIP - Crew List Indexing Project, www.crewlist.org.uk; ON - The permanent Official Number of a ship, used as a finding aid."
t040,"Presentation 4.1: <i>Birdie</i>, Julia C. Stryker, U of Texas","February 3, 2022",Julia Stryker,University of Texas,<i>Birdie</i>,48213,1866,"MHA, St. John's, NL","MHA - Maritime History Archive, University of Newfoundland, St. John's NL; CLIP - Crew List Indexing Project, www.crewlist.org.uk; ON - The permanent Official Number of a ship, used as a finding aid."
t041,"Presentation 4.2: <i>Marion</i>, Julia C. Stryker, U of Texas","February 3, 2022",Julia Stryker,University of Texas,<i>Marion</i>,972,1873,"MHA, St. John's, NL","MHA - Maritime History Archive, University of Newfoundland, St. John's NL; CLIP - Crew List Indexing Project, www.crewlist.org.uk; ON - The permanent Official Number of a ship, used as a finding aid."
t050,"Presentation 5.1: <i>Whinfell</i>, Meaghan Walker, MUN","February 17, 2022",Meaghan Walker,Memorial University of Newfoundland,<i>Whinfell</i>,44157,1863,"MHA, St. John's, NL","MHA - Maritime History Archive, University of Newfoundland, St. John's NL; CLIP - Crew List Indexing Project, www.crewlist.org.uk; ON - The permanent Official Number of a ship, used as a finding aid."
t051,"Presentation 5.2: Ryans Premises Journal, Meaghan Walker, MUN","February 17, 2022",Meaghan Walker,Memorial University of Newfoundland,Ryans Fonds,1.03.001 pg. 302-3,1863,"MHA, St. John's, NL","MHA - Maritime History Archive, University of Newfoundland, St. John's NL; CLIP - Crew List Indexing Project, www.crewlist.org.uk; ON - The permanent Official Number of a ship, used as a finding aid."
t080,Roundtable: <i>Patna</i>,Forthcoming,"Laura Tabili, Naina Manjrekar, & Ravi Ahjua","University of Arizona, Indian Institute of Technology, & Georg-August-University",<i>Patna</i>,63826,1877,"MHA, St. John's, NL","MHA - Maritime History Archive, University of Newfoundland, St. John's NL; CLIP - Crew List Indexing Project, www.crewlist.org.uk; ON - The permanent Official Number of a ship, used as a finding aid."
t081,Roundtable: <i>Sir Bartle Frere</i>,Forthcoming,"Laura Tabili, Naina Manjrekar, & Ravi Ahjua","University of Arizona, Indian Institute of Technology, & Georg-August-University",<i>Sir Bartle Frere</i>,30634,1874,"MHA, St. John's, NL","MHA - Maritime History Archive, University of Newfoundland, St. John's NL; CLIP - Crew List Indexing Project, www.crewlist.org.uk; ON - The permanent Official Number of a ship, used as a finding aid."
t090,"<i>Sparkling Glance</i>, ON 81538, 1896, MHA, St. John's NL",,Madeleine Mant,University of Toronto,<i>Sparkling Glance</i>,81538,1896,"MHA, St. John's, NL","MHA - Maritime History Archive, University of Newfoundland, St. John's NL; CLIP - Crew List Indexing Project, www.crewlist.org.uk; ON - The permanent Official Number of a ship, used as a finding aid."
